Tmax = 100000;

s("0")=7871;

s("1")=16355;

s("2")=4035;

s("3")=3964;

s("4")=3831;

s("5")=3964;

s("6")=3420;

s("7")=6440;

q("0","1")=1;
a("24","19")=1; 
a("25","19")=1; 
a("5","21")=1; 
a("6","21")=1; 
a("7","21")=1; 
a("8","21")=1; 
a("11","21")=1; 
a("12","21")=1; 
a("14","21")=1; 
a("15","21")=1; 
a("16","21")=1; 
a("17","21")=1; 
a("18","21")=1; 
a("19","21")=1; 
a("20","21")=1; 
a("22","21")=1; 
a("23","21")=1; 
a("24","21")=1; 
a("25","21")=1; 
a("5","22")=1; 
a("7","22")=1; 
a("8","22")=1; 
a("11","22")=1; 
a("14","22")=1; 
a("15","22")=1; 
a("17","22")=1; 
a("18","22")=1; 
a("19","22")=1; 
a("20","22")=1; 
a("23","22")=1; 
a("24","22")=1; 
a("25","22")=1; 
a("7","23")=1; 
a("8","23")=1; 
a("14","23")=1; 
a("15","23")=1; 
a("17","23")=1; 
a("19","23")=1; 
a("20","23")=1; 
a("24","23")=1; 
a("25","23")=1; 
a("5","24")=1; 
a("6","24")=1; 
a("7","24")=1; 
a("11","24")=1; 
a("12","24")=1; 
a("14","24")=1; 
a("16","24")=1; 
a("18","24")=1; 
a("19","24")=1; 
a("20","24")=1; 
a("22","24")=1; 
a("23","24")=1; 
a("25","24")=1; 
a("5","25")=1; 
a("6","25")=1; 
a("11","25")=1; 
a("12","25")=1; 
a("16","25")=1; 
a("18","25")=1; 
a("19","25")=1; 
a("22","25")=1; 
a("23","25")=1; 
